Sr. No.,Product Name,Collection Name,Description,Short Description,Weaving Technique,Material,Pile Thickness (MM),Colour Attributes for Filter,Colour For Product Page,Shape,Size,Price (AED),Price (USD),Price (EUR),Design ID,Item Number (SKU),Pattern,Lead Time,Weight (KG),alt Text,Image Title / Caption,Image description,tags
1,Capsule I Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Orange,Beige,Rectangle,150X180,6750,1840,1610,Capsule I,HOD-HKW-CA-01,Geometric,8-12 Weeks,13.230,"Top-down view of a pill-shaped luxury wool rug with abstract shapes in terracotta, olive green, crimson, and a black-and-white grid texture on a dark background.",Capsule 01 Wool Rug by House of Decor,"A high-end hand-knotted 100% wool rug displaying an avant-garde geometric design with warm earth tones, olive accents, and a distinctive textured grid block within a capsule frame.","Mid-Century Modern, Bauhaus, Soft Minimalist, Geometric, Abstract Art, Avant-Garde, Artisanal, Capsule Shape, Pill Shape, Rounded Corners, Statement Rug, Hand-Knotted, 100% Wool, Living Room, Dining Room, Bedroom Rug, Foyer / Entryway Rug, Office Rug"
,,,,,,Wool,8,,,,200X240,12000,3270,2860,,,,8-12 Weeks,23.520,,,,
,,,,,,Wool,8,,,,250X350,21875,5960,5210,,,,8-12 Weeks,42.875,,,,
2,Capsule II Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Yellow | Green | Beige | Brown,Ebony,Rectangle,210X240,12600,3430,3000,Capsule II,HOD-HKW-CA-02,Geometric,8-12 Weeks,24.696,"Luxury hand-knotted pill-shaped wool rug featuring stacked abstract arches in olive green, terracotta, and golden yellow over a field of fine horizontal stripes.",Capsule 02 Wool Rug by House of Decor,A premium 100% wool hand-knotted rug featuring a capsule silhouette and a graphic layout of arching color blocks anchored by a linear striped base.,"Mid-Century Modern, Bauhaus, Soft Minimalist, Geometric, Abstract Art, Avant-Garde, Artisanal, Capsule Shape, Pill Shape, Rounded Corners, Statement Rug, Hand-Knotted, 100% Wool, Living Room, Dining Room, Bedroom Rug, Foyer / Entryway Rug, Office Rug"
,,,,,,Wool,8,,,,240X280,16800,4580,4000,,,,8-12 Weeks,32.928,,,,
3,Capsule III Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Orange I Brown,Terracotta,Rectangle,210X240,12600,3430,3000,Capsule III,HOD-HKW-CA-03,Geometric,8-12 Weeks,24.696,"Overhead view of a capsule-shaped hand-knotted wool rug with interlocking rounded loops in terracotta, cream, olive green, and deep red with horizontal pinstripes.",Capsule 03 Wool Rug by House of Decor,"A sophisticated 100% wool rug with a pill-shaped silhouette, featuring a complex geometric design of warm earth tones, deep red accents, and crisp pinstripe details.","Mid-Century Modern, Bauhaus, Soft Minimalist, Geometric, Abstract Art, Avant-Garde, Artisanal, Capsule Shape, Pill Shape, Rounded Corners, Statement Rug, Hand-Knotted, 100% Wool, Living Room, Dining Room, Bedroom Rug, Foyer / Entryway Rug, Office Rug"
,,,,,,Wool,8,,,,240X280,16800,4580,4000,,,,8-12 Weeks,32.928,,,,
4,Capsule IV Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Brown,Crimson,Rectangle,180X210,9450,2570,2250,Capsule IV,HOD-HKW-CA-04,Geometric,8-12 Weeks,18.522,"Overhead view of a capsule wool rug with terracotta, red, and olive color blocks around a central vertical stripe section.",Capsule 04 Wool Rug - House of Decor,"An architectural hand-knotted wool rug featuring layered terracotta loops, rich red accents, and a central multi-colored pinstripe panel.","Capsule Shape, Vertical Stripes, Bauhaus, Terracotta, Crimson, 100% Wool, Hand-Knotted"
,,,,,,Wool,8,,,,240X280,16800,4580,4000,,,,8-12 Weeks,32.928,,,,
5,Capsule V Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Brown,Forest Green,Rectangle,160X180,7200,1960,1710,Capsule V,HOD-HKW-CA-05,Geometric,8-12 Weeks,14.112,Capsule-shaped luxury rug with a bold central red and dark green block framed by an outer field of fine horizontal brown pinstripes.,Capsule 05 Wool Rug - House of Decor,A 100% wool hand-knotted rug showcasing asymmetric red and dark green color blocks framed by an expansive pinstripe surround.,"Capsule Shape, Broad Stripes, Statement Rug, Forest Green, Crimson, 100% Wool, Hand-Knotted"
,,,,,,Wool,8,,,,180X270,12150,3310,2890,,,,8-12 Weeks,23.814,,,,
